Energy,X,Y,Z,Normal_X,Normal_Y,Normal_Z,Wavelength,Flux
1.000000,0.412046,0.073266,-0.039014,0.157320,-0.000003,0.987548,550.000000,364.949817
1.000000,0.357253,0.048148,-0.030696,0.142835,-0.000005,0.989747,550.000000,378.876636
1.000000,0.514317,0.063292,-0.056748,0.184354,0.000000,0.982860,550.000000,338.659421
1.000000,0.015281,0.040634,0.002888,0.052438,-0.000015,0.998624,550.000000,463.318257
1.000000,0.659826,0.064227,-0.087011,0.222818,0.000005,0.974860,550.000000,300.574366
1.000000,0.445795,0.029194,-0.044547,0.166240,-0.000002,0.986085,550.000000,356.318373
1.000000,0.111494,0.073209,-0.003394,0.077871,-0.000012,0.996963,550.000000,439.987155
1.000000,0.167416,0.029725,-0.008180,0.092653,-0.000011,0.995698,550.000000,426.275122
1.000000,0.239304,0.099476,-0.014216,0.111618,-0.000008,0.993751,550.000000,408.515653
1.000000,0.982981,0.073062,-0.171166,0.307858,0.000015,0.951432,550.000000,213.441685
1.000000,0.400270,0.018585,-0.037157,0.154205,-0.000003,0.988039,550.000000,367.953780
1.000000,0.866434,0.047093,-0.140408,0.277432,0.000012,0.960745,550.000000,245.091678
